"Strain (Query)","Locus Tag (Query)","Description (Query)","Inparalog (Query)","Strain (Hit)","Locus Tag (Hit)","Description (Hit)","Inparalog (Hit)"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2167 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2167 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3274","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_2465","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2465 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3146 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3146","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3274 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3746","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3325 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3325 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3746 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_5571 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_0372 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_0372 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3274","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_2465","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2167 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3434 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_2465 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3146","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2690 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3146 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA3993 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3746","ISPsy7, transposase","PSPTO_3800 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA4797 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3274 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0445","probable transposase","PA2319 | probable transposase","Pseudomonas syringae pv. tomato DC3000","PSPTO_3800","ISPsy7, transposase","PSPTO_3274 | ISPsy7, transposase"
Pseudomonas aeruginosa PAO1 (Reference)","PA0447","glutaryl-CoA dehydrogenase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5461","acyl-CoA dehydrogenase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0448","transcriptional regulator, GcdR","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5462","LysR family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0450","probable phosphate transporter","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3702","phosphate transporter family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0455","RNA helicase DbpA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5007","ATP-independent RNA helicase DbpA",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0458","probable major facilitator superfamily (MFS) transporter","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0407","drug resistance transporter, EmrB/QacA family",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0461","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0452","putative acyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0472","FiuI","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0444","RNA polymerase sigma-70 family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0478","probable N-acetyltransferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2444","GNAT family acetyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0484","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0481","ACT domain-containing protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0486","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0484","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0489","probable phosphoribosyl transferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0493","competence protein ComF",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0492","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2936","LamB/YcsF family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0503","probable biotin synthesis protein BioC","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0497","biotin synthesis protein BioC",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0504","dethiobiotin synthase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0498","dethiobiotin synthetase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0506","probable acyl-CoA dehydrogenase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0500","acyl-CoA dehydrogenase family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0536","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4289","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0540","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0380","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0542","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0381","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0546","methionine adenosyltransferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0383","S-adenosylmethionine synthetase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0547","probable transcriptional regulator","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0384","ArsR family transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0548","transketolase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0385","transketolase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0550","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_5064","hydroxypyruvate isomerase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0554","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0389","lipoprotein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0567","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0507","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0574","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0523","Fic family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0576","sigma factor RpoD","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0537","RNA polymerase sigma-70 factor",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0577","DNA primase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0538","DNA primase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0579","30S ribosomal protein S21","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0539","30S ribosomal protein S21",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0582","dihydroneopterin aldolase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0542","dihydroneopterin aldolase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0583","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0543","2-amino-4-hydroxy-6- hydroxymethyldihydropteridine pyrophosphokinase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0584","tRNA nucleotidyl transferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0544","tRNA nucleotidyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0587","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0546","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0588","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0547","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0589","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0548","thiosulfate sulfurtransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0594","peptidyl-prolyl cis-trans isomerase SurA","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0553","peptidyl-prolyl cis-trans isomerase SurA",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0598","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0557","DnaJ-like protein DjlA",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0599","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0558","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0601","two-component response regulator, AgtR","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0560","LuxR family DNA-binding response regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0607","ribulose-phosphate 3-epimerase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0566","ribulose-phosphate 3-epimerase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0611","transcriptional regulator PrtR","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0721","transcriptional regulator",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0616","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3403","baseplate assembly protein V",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0618","probable bacteriophage protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3400","baseplate assembly protein J",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0622","probable bacteriophage protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3396","major tail sheath protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0623","probable bacteriophage protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3395","major tail tube protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0624","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3394","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0627","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3391","tail protein X",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0628","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3390","tail protein D",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0636","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4046","tail tape measure protein","PSPTO_2082 | tail length tape measure protein, internal deletion"
Pseudomonas aeruginosa PAO1 (Reference)","PA0636","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4046","tail tape measure protein","PSPTO_0296 | hypothetical protein"
Pseudomonas aeruginosa PAO1 (Reference)","PA0646","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3936","tail fiber domain protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0649","anthranilate synthase component II","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0592","anthranilate synthase component II",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0650","anthranilate phosphoribosyltransferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0593","anthranilate phosphoribosyltransferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0651","indole-3-glycerol-phosphate synthase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0594","indole-3-glycerol phosphate synthase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0652","transcriptional regulator Vfr","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0596","catabolite gene activator Crp",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0653","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0597","OsmC/Ohr family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0654","S-adenosylmethionine decarboxylase proenzyme","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0598","S-adenosylmethionine decarboxylase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0658","probable short-chain dehydrogenase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0601","short chain dehydrogenase/reductase family oxidoreductase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0661","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0603","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0662","N-acetyl-gamma-glutamyl-phosphate reductase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0604","N-acetyl-gamma-glutamyl-phosphate reductase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0665","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0605","HesB/YadR/YfhF family protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0668","tyrosyl-tRNA synthetase 2","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0609","tyrosyl-tRNA synthetase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0671","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_2793","hypothetical protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0687","HxcS","","Pseudomonas syringae pv. tomato DC3000","PSPTO_3316","general secretion pathway protein F",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0730","probable transferase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4248","3-hydroxyacyl-CoA-acyl carrier protein transferase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0733","probable pseudouridylate synthase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4247","ribosomal small subunit pseudouridine synthase A",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0747","probable aldehyde dehydrogenase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_0782","methylmalonate-semialdehyde dehydrogenase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0750","uracil-DNA glycosylase","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4236","uracil-DNA glycosylase",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0751","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4235","membrane protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0752","conserved hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4234","membrane protein TctA",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0754","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4232","TctC protein",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0757","probable two-component sensor","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4230","sensor histidine kinase TctE",""
Pseudomonas aeruginosa PAO1 (Reference)","PA0758","hypothetical protein","","Pseudomonas syringae pv. tomato DC3000","PSPTO_4229","hypothetical protein",""
